Andorra la Vella;Capital of Andorra;42.50779;1.52109
Abu Dhabi;Capital of the United Arab Emirates;24.46667;54.36667
Kabul;Capital of Afghanistan;34.52813;69.17233
Saint John’s;Capital of Antigua and Barbuda;17.11667;-61.85
The Valley;Capital of Anguilla;18.21704;-63.05783
Tirana;Capital of Albania;41.3275;19.81889
Yerevan;Capital of Armenia;40.18111;44.51361
Luanda;Capital of Angola;-8.83682;13.23432
Pago Pago;Capital of American Samoa;-14.27806;-170.7025
Vienna;Capital of Austria;48.20849;16.37208
Canberra;Capital of Australia;-35.28346;149.12807
Oranjestad;Capital of Aruba;12.52398;-70.02703
Mariehamn;Capital of the Åland Islands;60.09726;19.93481
Baku;Capital of Azerbaijan;40.37767;49.89201
Sarajevo;Capital of Bosnia and Herzegovina;43.84864;18.35644
Bridgetown;Capital of Barbados;13.1;-59.61667
Dhaka;Capital of Bangladesh;23.7104;90.40744
Brussels;Capital of Belgium;50.85045;4.34878
Ouagadougou;Capital of Burkina Faso;12.36423;-1.53834
Sofia;Capital of Bulgaria;42.69751;23.32415
Manama;Capital of Bahrain;26.21536;50.5832
Bujumbura;Capital of Burundi;-3.3822;29.3644
Porto-Novo;Capital of Benin;6.49646;2.60359
Gustavia;Capital of Saint Barthélemy;17.89618;-62.84978
Hamilton;Capital of Bermuda;32.29149;-64.77797
Bandar Seri Begawan;Capital of Brunei;4.94029;114.94806
Sucre;Capital of Bolivia;-19.03332;-65.26274
La Paz;Capital of Bolivia;-16.5;-68.15
Brasília;Capital of Brazil;-15.77972;-47.92972
Nassau;Capital of Bahamas;25.05823;-77.34306
Thimphu;Capital of Bhutan;27.46609;89.64191
Gaborone;Capital of Botswana;-24.65451;25.90859
Minsk;Capital of Belarus;53.9;27.56667
Belmopan;Capital of Belize;17.25;-88.76667
Ottawa;Capital of Canada;45.41117;-75.69812
West Island;Capital of the Cocos Islands;-12.15681;96.82251
Kinshasa;Capital of Democratic Republic of the Congo;-4.32459;15.32146
Bangui;Capital of Central African Republic;4.36122;18.55496
Brazzaville;Capital of Republic of the Congo;-4.26583;15.28318
Bern;Capital of Switzerland;46.94809;7.44744
Yamoussoukro;Capital of Ivory Coast;6.82055;-5.27674
Avarua;Capital of the Cook Islands;-21.20778;-159.775
Santiago;Capital of Chile;-33.45694;-70.64827
Yaoundé;Capital of Cameroon;3.86667;11.51667
Bogotá;Capital of Colombia;4.60971;-74.08175
San José;Capital of Costa Rica;9.93333;-84.08333
Havana;Capital of Cuba;23.13302;-82.38304
Praia;Capital of Cape Verde;14.92148;-23.50868
